id_game,id_machines_clubs
371,19515
144,857
300,3222
537,14874
357,9419
428,13480
603,5436
66,10872
753,13224
341,17355
54,9528
37,16576
282,9321
18,16623
743,11270
515,14478
186,1780
65,8573
469,10310
639,13724
544,12195
312,7355
685,15153
399,17047
703,10571
375,467
375,11962
493,5606
250,15571
732,12683
83,13061
226,8936
65,10292
836,17454
839,12067
718,12595
619,6440
998,13753
333,7054
277,12361
621,11682
932,7023
487,11089
395,13125
834,18023
524,19047
901,17003
847,11247
290,3527
840,9970
900,17702
744,10091
499,19323
539,18230
438,3376
936,17079
559,2127
611,1933
590,3328
802,11840
447,8844
334,3381
319,17673
81,18051
817,14708
841,13037
35,14292
147,3154
413,10416
737,5977
748,18476
578,3404
828,3003
872,17823
864,10109
385,9824
851,9109
104,7553
422,13133
314,10844
444,15653
896,2431
241,5910
370,14046
932,4207
670,12745
503,471
41,19606
125,2638
174,6975
183,8199
309,17019
960,16957
359,17302
912,16744
184,10305
562,871
310,17848
810,18949
410,7896
89,10313
98,9943
373,10898
563,10865
1,8312
494,1344
117,9758
887,16653
681,14381
118,5676
351,12238
188,5871
57,11356
27,11236
707,7963
213,13234
908,10944
39,11424
644,6291
727,5020
461,2663
539,3360
109,13348
789,16203
872,2171
638,14598
160,4642
546,12914
380,8454
37,14138
680,9647
336,6589
321,17502
306,7136
885,6749
69,18600
997,18132
499,14270
715,17245
68,18159
700,13540
348,8849
332,1973
189,11566
557,14740
915,13772
84,45
769,3242
891,10100
321,4559
302,18384
563,13290
705,91
138,7365
5,11635
763,19421
8,7612
719,13720
374,5003
983,9214
806,6829
98,3633
673,18296
594,18792
523,2061
422,5808
798,6894
505,6350
656,12470
94,9460
202,5487
296,9305
410,4168
134,10273
258,14419
128,3853
435,8525
230,2399
128,12976
203,19140
109,2908
463,10503
43,6822
2,969
390,15212
722,9446
697,5362
695,16883
564,9539
816,11654
912,14396
270,10865
708,13652
133,18649
129,2508
332,15351
865,11516
982,8014
617,5172
653,17959
132,2716
196,3591
897,15905
80,5892
456,8026
851,1235
827,18571
209,3160
376,4837
816,5336
642,19283
472,8270
19,7179
532,16998
826,15910
61,16777
437,14543
146,3181
236,2941
183,11705
55,17050
449,13786
651,14746
702,10850
206,10513
910,18901
608,4
86,3063
59,16608
939,18730
478,1436
676,1771
905,1518
734,8376
47,3497
95,10409
168,3224
167,10253
446,986
472,9634
318,5753
287,10634
37,19693
864,6742
640,6287
628,8875
448,1376
670,760
851,2047
235,10786
4,4102
550,2829
188,12354
775,18545
761,7848
964,2725
464,4938
365,2991
678,17147
641,9982
871,613
633,1829
938,7961
746,5444
713,10294
116,9476
28,18297
177,2408
953,11987
857,2457
637,11604
452,13305
676,3923
669,9465
359,521
826,13811
194,7578
551,9268
528,14891
464,7535
34,15320
198,10897
835,11293
115,9681
28,17512
137,8749
825,8247
318,8468
311,15850
649,8229
655,9762
189,11311
601,2121
540,13218
179,14292
152,15557
717,13039
665,9067
384,19397
648,17800
514,9487
310,12119
15,624
56,10164
518,4875
681,6799
552,2393
723,9738
647,14844
900,16029
482,4928
268,18515
71,7072
926,9775
551,6283
460,13356
530,5676
772,12126
491,205
748,13749
784,9379
947,17454
277,4190
77,2527
85,18238
998,16875
634,6500
627,18502
118,15164
610,19082
113,15507
113,15813
198,15581
74,13596
107,8256
250,12034
169,13717
849,13159
691,8226
523,14614
970,15890
480,3645
123,9183
33,13295
859,18021
616,1307
407,8302
292,18036
417,12497
1000,9542
156,7624
303,15864
512,14350
74,17276
223,2045
219,12171
471,4681
161,4593
824,19078
168,5586
445,11260
228,8816
843,1499
98,5601
988,11532
402,5584
486,13449
478,9750
746,1684
859,10937
650,4768
824,3193
200,1699
920,17904
581,1914
636,8215
767,9491
934,4381
708,6342
850,17421
31,714
199,11743
219,14049
604,18953
669,15113
695,18938
339,14475
227,4565
290,1481
15,7857
645,7469
362,3993
104,14280
381,4637
165,9547
938,14986
914,2792
764,7421
265,10544
314,3313
141,6307
424,19214
384,5117
912,6629
929,10457
546,242
660,16229
808,15391
458,11452
414,2361
365,17785
191,437
253,9506
505,7503
761,14093
890,11715
555,14520
51,10252
526,8096
816,6239
127,4214
231,5258
266,1780
130,2551
209,2778
768,17849
964,16757
673,15635
718,18060
859,5238
205,6699
202,15724
368,2531
905,2753
985,13344
493,911
622,160
59,16819
223,7194
295,19083
336,2052
235,12208
743,5587
469,1619
692,6614
1,16186
685,11231
254,18670
35,6824
819,10985
524,14009
455,5319
426,12542
701,19850
686,10265
31,7053
935,11644
88,9113
802,951
330,1039
149,18276
69,12995
905,1371
330,4808
796,3432
377,10215
490,12474
873,15898
388,19635
681,3811
797,10871
503,5803
368,15097
645,13262
530,8050
973,13986
162,4932
255,1295
227,737
819,17250
419,11659
282,18088
633,15743
135,8801
191,1592
555,2879
592,234
267,4349
795,15692
829,17425
927,5962
901,4917
526,14782
180,2478
134,3264
237,11093
908,12875
515,577
41,19548
308,174
545,962
755,11161
407,15210
465,6330
274,16801
33,17133
851,12755
410,8921
933,13471
666,1242
265,4746
51,9789
826,17011
663,17582
611,575
791,16179
711,8060
652,7562
825,18216
687,1279
485,12040
70,5006
371,12122
806,14521
266,3473
602,4930
318,7857
505,17346
180,11567
640,6013
801,988
593,12250
521,2188
856,5852
314,5433
22,7940
874,10410
710,11066
717,13470
44,10478
709,9079
227,2095
862,6183
143,6131
277,1317
53,1744
718,3642
723,19228
572,4022
878,18880
852,19144
953,18622
497,932
353,2789
116,8054
592,7075
758,18003
297,14901
504,5183
680,7421
960,4785
187,14573
738,16445
247,11796
80,18735
198,6350
142,10988
209,9142
6,13914
241,13675
943,11124
897,1353
808,13445
422,13478
690,17887
197,19674
708,2970
920,11004
397,9593
196,9568
881,7854
76,434
957,16720
989,2340
912,12287
469,5232
689,6845
22,6638
482,18674
288,6562
732,10525
902,4003
64,11341
874,15583
453,10934
351,6990
493,5930
286,13880
119,3247
846,14056
690,4046
803,13460
273,17952
384,4137
945,4578
434,6889
226,13695
677,8852
895,6212
846,48
979,7388
21,444
