id,id_club,id_machine
1,791,65
2,366,95
3,839,40
4,309,49
5,870,87
6,528,27
7,544,68
8,306,98
9,319,33
10,323,61
11,195,59
12,684,82
13,267,10
14,449,90
15,104,81
16,879,28
17,168,78
18,71,24
19,550,16
20,183,81
21,264,58
22,281,24
23,836,33
24,360,51
25,558,66
26,426,55
27,235,5
28,16,57
29,50,42
30,70,7
31,139,91
32,611,67
33,494,37
34,869,1
35,960,3
36,414,57
37,496,100
38,878,81
39,321,30
40,479,35
41,660,43
42,74,43
43,903,51
44,445,47
45,137,94
46,836,39
47,8,26
48,970,88
49,95,19
50,670,35
51,965,89
52,84,78
53,749,36
54,112,68
55,454,15
56,436,4
57,340,7
58,29,26
59,405,46
60,884,54
61,683,48
62,707,89
63,121,1
64,242,50
65,454,1
66,747,82
67,991,17
68,14,47
69,385,43
70,614,86
71,95,34
72,501,72
73,928,16
74,585,24
75,964,17
76,320,99
77,242,100
78,690,92
79,591,28
80,579,79
81,38,3
82,663,86
83,80,16
84,476,52
85,403,81
86,944,7
87,302,42
88,265,40
89,96,69
90,703,73
91,274,63
92,196,49
93,138,29
94,373,74
95,713,26
96,565,65
97,672,31
98,885,25
99,639,40
100,631,6
101,161,90
102,125,63
103,252,43
104,75,70
105,125,90
106,985,99
107,350,70
108,150,100
109,855,60
110,546,62
111,763,75
112,394,94
113,801,33
114,605,43
115,680,44
116,555,68
117,786,26
118,641,37
119,121,77
120,871,22
121,747,51
122,215,53
123,217,22
124,900,75
125,54,8
126,211,81
127,238,70
128,886,94
129,83,99
130,381,41
131,342,94
132,741,63
133,216,78
134,322,27
135,720,57
136,909,76
137,181,44
138,510,15
139,332,47
140,226,61
141,875,34
142,264,87
143,108,58
144,766,51
145,558,21
146,176,82
147,196,61
148,70,47
149,730,95
150,168,44
151,199,36
152,47,58
153,951,74
154,264,89
155,93,32
156,644,94
157,898,67
158,313,49
159,414,55
160,812,52
161,913,94
162,468,37
163,190,30
164,693,52
165,789,29
166,619,2
167,955,85
168,197,76
169,745,62
170,450,93
171,121,35
172,255,29
173,116,55
174,693,21
175,157,13
176,669,77
177,737,48
178,133,17
179,253,88
180,622,36
181,320,94
182,186,41
