starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 08 23:22:50 2023	1699474970	0	4	4	4
Wed Nov 08 23:24:05 2023	1699475045	0	4	4	4
Wed Nov 08 23:23:59 2023	1699475039	0	4	4	4
Wed Nov 08 23:24:06 2023	1699475046	0	4	4	4
Wed Nov 08 23:23:57 2023	1699475037	0	4	5	4
Wed Nov 08 23:23:08 2023	1699474988	0	4	5	4
Wed Nov 08 23:24:18 2023	1699475058	0	5	5	5
Wed Nov 08 23:23:53 2023	1699475033	0	5	5	5
Wed Nov 08 23:24:10 2023	1699475050	0	5	5	5
Wed Nov 08 23:23:57 2023	1699475037	0	5	5	4
Wed Nov 08 23:22:53 2023	1699474973	0	5	5	4
Wed Nov 08 23:24:04 2023	1699475044	0	5	5	5
Wed Nov 08 23:24:02 2023	1699475042	0	5	5	5
Wed Nov 08 23:23:03 2023	1699474983	0	5	5	5
Wed Nov 08 23:23:57 2023	1699475037	0	5	5	5
Wed Nov 08 23:22:48 2023	1699474968	0	5	5	5
Wed Nov 08 23:23:36 2023	1699475016	0	5	5	5
Wed Nov 08 23:24:14 2023	1699475054	0	5	5	5
Wed Nov 08 23:24:12 2023	1699475052	0	5	5	4
Wed Nov 08 23:23:05 2023	1699474985	0	5	5	5
Wed Nov 08 23:24:06 2023	1699475046	0	5	5	5
Wed Nov 08 23:23:03 2023	1699474983	0	5	5	5
Wed Nov 08 23:24:18 2023	1699475058	0	5	5	5
Wed Nov 08 23:23:59 2023	1699475039	0	5	5	5
Wed Nov 08 23:23:59 2023	1699475039	0	5	5	5
Wed Nov 08 23:24:02 2023	1699475042	0	5	5	5
Wed Nov 08 23:24:03 2023	1699475043	0	5	5	5
Wed Nov 08 23:23:27 2023	1699475007	0	5	5	5
Wed Nov 08 23:24:02 2023	1699475042	0	5	5	5
Wed Nov 08 23:23:09 2023	1699474989	0	5	5	5
Wed Nov 08 23:22:46 2023	1699474966	0	5	5	5
Wed Nov 08 23:24:07 2023	1699475047	0	5	5	5
Wed Nov 08 23:23:38 2023	1699475018	0	5	5	5
Wed Nov 08 23:24:00 2023	1699475040	0	5	5	5
Wed Nov 08 23:22:49 2023	1699474969	0	5	5	5
Wed Nov 08 23:23:07 2023	1699474987	0	5	6	5
Wed Nov 08 23:24:01 2023	1699475041	0	5	6	5
Wed Nov 08 23:23:42 2023	1699475022	0	5	6	5
Wed Nov 08 23:22:48 2023	1699474968	0	5	6	5
Wed Nov 08 23:22:49 2023	1699474969	0	6	6	6
Wed Nov 08 23:23:58 2023	1699475038	0	6	6	5
Wed Nov 08 23:23:12 2023	1699474992	0	6	6	6
Wed Nov 08 23:22:49 2023	1699474969	0	6	6	6
Wed Nov 08 23:24:00 2023	1699475040	0	6	6	4
Wed Nov 08 23:24:18 2023	1699475058	0	6	6	5
Wed Nov 08 23:23:58 2023	1699475038	0	6	6	6
Wed Nov 08 23:23:04 2023	1699474984	0	6	6	5
Wed Nov 08 23:22:51 2023	1699474971	0	6	6	6
Wed Nov 08 23:24:17 2023	1699475057	0	6	6	6
Wed Nov 08 23:24:08 2023	1699475048	0	6	6	6
Wed Nov 08 23:24:01 2023	1699475041	0	6	6	5
Wed Nov 08 23:22:58 2023	1699474978	0	6	6	6
Wed Nov 08 23:23:11 2023	1699474991	0	6	6	5
Wed Nov 08 23:23:53 2023	1699475033	0	6	6	6
Wed Nov 08 23:23:46 2023	1699475026	0	6	6	6
Wed Nov 08 23:22:51 2023	1699474971	0	6	6	5
Wed Nov 08 23:23:07 2023	1699474987	0	6	6	5
Wed Nov 08 23:23:42 2023	1699475022	0	6	6	5
Wed Nov 08 23:22:51 2023	1699474971	0	6	6	6
Wed Nov 08 23:23:47 2023	1699475027	0	6	6	6
Wed Nov 08 23:23:59 2023	1699475039	0	6	6	6
Wed Nov 08 23:24:10 2023	1699475050	0	6	6	5
Wed Nov 08 23:24:08 2023	1699475048	0	6	6	5
Wed Nov 08 23:24:18 2023	1699475058	0	6	6	6
Wed Nov 08 23:23:08 2023	1699474988	0	6	6	5
Wed Nov 08 23:24:09 2023	1699475049	0	6	6	6
Wed Nov 08 23:23:59 2023	1699475039	0	6	6	6
Wed Nov 08 23:23:56 2023	1699475036	0	6	6	5
Wed Nov 08 23:23:36 2023	1699475016	0	6	6	6
Wed Nov 08 23:24:01 2023	1699475041	0	6	6	5
Wed Nov 08 23:24:09 2023	1699475049	0	6	6	6
Wed Nov 08 23:24:07 2023	1699475047	0	6	6	6
Wed Nov 08 23:23:11 2023	1699474991	0	6	6	5
Wed Nov 08 23:23:07 2023	1699474987	0	6	6	6
Wed Nov 08 23:24:01 2023	1699475041	0	6	6	6
Wed Nov 08 23:24:03 2023	1699475043	0	6	6	6
Wed Nov 08 23:23:53 2023	1699475033	0	6	6	6
Wed Nov 08 23:22:51 2023	1699474971	0	6	6	6
Wed Nov 08 23:24:05 2023	1699475045	0	6	6	5
Wed Nov 08 23:23:41 2023	1699475021	0	6	6	5
Wed Nov 08 23:24:06 2023	1699475046	0	6	6	6
Wed Nov 08 23:22:51 2023	1699474971	0	6	6	6
Wed Nov 08 23:22:59 2023	1699474979	0	6	6	5
Wed Nov 08 23:23:07 2023	1699474987	0	6	6	6
Wed Nov 08 23:24:10 2023	1699475050	0	6	6	6
Wed Nov 08 23:23:58 2023	1699475038	0	6	6	6
Wed Nov 08 23:24:05 2023	1699475045	0	6	6	6
Wed Nov 08 23:23:42 2023	1699475022	0	6	6	6
