starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 09 20:08:48 2023	1699549728	0	4	4	4
Thu Nov 09 20:06:25 2023	1699549585	0	4	4	4
Thu Nov 09 20:06:27 2023	1699549587	0	4	4	4
Thu Nov 09 20:07:41 2023	1699549661	0	4	5	4
Thu Nov 09 20:06:26 2023	1699549586	0	4	5	4
Thu Nov 09 20:07:43 2023	1699549663	0	5	5	4
Thu Nov 09 20:08:53 2023	1699549733	0	5	5	4
Thu Nov 09 20:08:18 2023	1699549698	0	5	5	5
Thu Nov 09 20:08:21 2023	1699549701	0	5	5	4
Thu Nov 09 20:06:24 2023	1699549584	0	5	5	5
Thu Nov 09 20:08:57 2023	1699549737	0	5	5	4
Thu Nov 09 20:08:47 2023	1699549727	0	5	5	4
Thu Nov 09 20:06:37 2023	1699549597	0	5	5	4
Thu Nov 09 20:08:47 2023	1699549727	0	5	5	4
Thu Nov 09 20:06:26 2023	1699549586	0	5	5	5
Thu Nov 09 20:08:52 2023	1699549732	0	5	5	5
Thu Nov 09 20:08:32 2023	1699549712	0	5	5	5
Thu Nov 09 20:08:31 2023	1699549711	0	5	5	5
Thu Nov 09 20:06:35 2023	1699549595	0	5	5	5
Thu Nov 09 20:08:48 2023	1699549728	0	5	5	5
Thu Nov 09 20:07:30 2023	1699549650	0	5	5	5
Thu Nov 09 20:08:26 2023	1699549706	0	5	5	5
Thu Nov 09 20:08:47 2023	1699549727	0	5	5	5
Thu Nov 09 20:08:34 2023	1699549714	0	5	5	5
Thu Nov 09 20:07:20 2023	1699549640	0	5	5	5
Thu Nov 09 20:07:20 2023	1699549640	0	5	5	5
Thu Nov 09 20:07:42 2023	1699549662	0	5	5	5
Thu Nov 09 20:06:35 2023	1699549595	0	5	5	5
Thu Nov 09 20:07:40 2023	1699549660	0	5	5	5
Thu Nov 09 20:07:15 2023	1699549635	0	5	5	5
Thu Nov 09 20:07:46 2023	1699549666	0	5	5	5
Thu Nov 09 20:06:37 2023	1699549597	0	5	5	5
Thu Nov 09 20:08:46 2023	1699549726	0	5	5	5
Thu Nov 09 20:08:36 2023	1699549716	0	5	5	5
Thu Nov 09 20:08:28 2023	1699549708	0	5	5	5
Thu Nov 09 20:06:25 2023	1699549585	0	5	5	4
Thu Nov 09 20:08:59 2023	1699549739	0	5	5	5
Thu Nov 09 20:06:40 2023	1699549600	0	5	5	5
Thu Nov 09 20:08:53 2023	1699549733	0	5	5	5
Thu Nov 09 20:07:41 2023	1699549661	0	5	5	5
Thu Nov 09 20:07:43 2023	1699549663	0	5	6	5
Thu Nov 09 20:06:31 2023	1699549591	0	5	6	5
Thu Nov 09 20:06:25 2023	1699549585	0	5	6	5
Thu Nov 09 20:07:41 2023	1699549661	0	6	6	5
Thu Nov 09 20:08:49 2023	1699549729	0	6	6	6
Thu Nov 09 20:08:53 2023	1699549733	0	6	6	5
Thu Nov 09 20:06:38 2023	1699549598	0	6	6	5
Thu Nov 09 20:06:35 2023	1699549595	0	6	6	5
Thu Nov 09 20:08:31 2023	1699549711	0	6	6	5
Thu Nov 09 20:08:53 2023	1699549733	0	6	6	5
Thu Nov 09 20:06:35 2023	1699549595	0	6	6	5
Thu Nov 09 20:08:54 2023	1699549734	0	6	6	5
Thu Nov 09 20:08:46 2023	1699549726	0	6	6	5
Thu Nov 09 20:08:57 2023	1699549737	0	6	6	5
Thu Nov 09 20:08:35 2023	1699549715	0	6	6	6
Thu Nov 09 20:07:19 2023	1699549639	0	6	6	5
Thu Nov 09 20:08:23 2023	1699549703	0	6	6	5
Thu Nov 09 20:08:31 2023	1699549711	0	6	6	5
Thu Nov 09 20:07:41 2023	1699549661	0	6	6	5
Thu Nov 09 20:08:30 2023	1699549710	0	6	6	5
Thu Nov 09 20:08:21 2023	1699549701	0	6	6	6
Thu Nov 09 20:06:39 2023	1699549599	0	6	6	5
Thu Nov 09 20:08:38 2023	1699549718	0	6	6	5
Thu Nov 09 20:06:39 2023	1699549599	0	6	6	5
Thu Nov 09 20:08:48 2023	1699549728	0	6	6	5
Thu Nov 09 20:08:54 2023	1699549734	0	6	6	5
Thu Nov 09 20:08:17 2023	1699549697	0	6	6	5
Thu Nov 09 20:06:25 2023	1699549585	0	6	6	5
Thu Nov 09 20:08:29 2023	1699549709	0	6	6	6
Thu Nov 09 20:06:27 2023	1699549587	0	6	6	6
Thu Nov 09 20:08:06 2023	1699549686	0	6	6	5
Thu Nov 09 20:08:50 2023	1699549730	0	6	6	6
Thu Nov 09 20:07:15 2023	1699549635	0	6	6	5
Thu Nov 09 20:08:47 2023	1699549727	0	6	6	5
Thu Nov 09 20:08:27 2023	1699549707	0	6	6	6
Thu Nov 09 20:08:41 2023	1699549721	0	6	6	5
Thu Nov 09 20:08:35 2023	1699549715	0	6	6	6
Thu Nov 09 20:06:25 2023	1699549585	0	6	6	6
Thu Nov 09 20:06:34 2023	1699549594	0	6	6	5
Thu Nov 09 20:08:46 2023	1699549726	0	6	6	6
Thu Nov 09 20:08:24 2023	1699549704	0	6	6	5
Thu Nov 09 20:07:20 2023	1699549640	0	6	6	6
Thu Nov 09 20:06:23 2023	1699549583	0	6	6	6
Thu Nov 09 20:08:52 2023	1699549732	0	6	6	6
Thu Nov 09 20:07:31 2023	1699549651	0	6	6	6
Thu Nov 09 20:07:21 2023	1699549641	0	6	6	5
Thu Nov 09 20:07:46 2023	1699549666	0	6	6	6
Thu Nov 09 20:08:52 2023	1699549732	0	6	6	5
Thu Nov 09 20:08:52 2023	1699549732	0	6	6	5
Thu Nov 09 20:07:15 2023	1699549635	0	6	6	6
Thu Nov 09 20:08:30 2023	1699549710	0	6	6	6
Thu Nov 09 20:07:43 2023	1699549663	0	6	6	6
Thu Nov 09 20:08:31 2023	1699549711	0	6	6	5
Thu Nov 09 20:08:17 2023	1699549697	0	6	6	6
Thu Nov 09 20:08:26 2023	1699549706	0	6	6	6
Thu Nov 09 20:07:42 2023	1699549662	0	6	6	6
Thu Nov 09 20:08:53 2023	1699549733	0	6	6	6
Thu Nov 09 20:08:22 2023	1699549702	0	6	6	6
Thu Nov 09 20:06:26 2023	1699549586	0	6	6	6
Thu Nov 09 20:07:22 2023	1699549642	0	6	6	6
Thu Nov 09 20:07:31 2023	1699549651	0	6	6	6
Thu Nov 09 20:06:25 2023	1699549585	0	6	6	6
Thu Nov 09 20:08:53 2023	1699549733	0	6	6	6
Thu Nov 09 20:07:46 2023	1699549666	0	6	6	6
Thu Nov 09 20:06:24 2023	1699549584	0	6	6	6
Thu Nov 09 20:08:46 2023	1699549726	0	6	6	6
Thu Nov 09 20:07:31 2023	1699549651	0	6	6	6
Thu Nov 09 20:08:58 2023	1699549738	0	6	6	6
Thu Nov 09 20:06:30 2023	1699549590	0	6	6	6
Thu Nov 09 20:08:18 2023	1699549698	0	6	6	6
Thu Nov 09 20:07:31 2023	1699549651	0	6	6	6
Thu Nov 09 20:08:53 2023	1699549733	0	6	6	6
Thu Nov 09 20:06:38 2023	1699549598	0	6	6	6
Thu Nov 09 20:06:23 2023	1699549583	0	6	6	6
Thu Nov 09 20:06:29 2023	1699549589	0	6	6	6
Thu Nov 09 20:08:54 2023	1699549734	0	6	6	6
Thu Nov 09 20:08:54 2023	1699549734	0	6	6	6
Thu Nov 09 20:06:23 2023	1699549583	0	6	6	6
Thu Nov 09 20:08:05 2023	1699549685	0	6	6	6
Thu Nov 09 20:08:48 2023	1699549728	0	6	6	6
Thu Nov 09 20:06:38 2023	1699549598	0	6	6	6
Thu Nov 09 20:06:39 2023	1699549599	0	6	6	6
Thu Nov 09 20:08:46 2023	1699549726	0	6	6	6
Thu Nov 09 20:08:57 2023	1699549737	0	6	6	6
Thu Nov 09 20:07:20 2023	1699549640	0	6	6	6
Thu Nov 09 20:08:05 2023	1699549685	0	6	6	6
Thu Nov 09 20:07:20 2023	1699549640	0	6	6	6
Thu Nov 09 20:06:36 2023	1699549596	0	6	6	6
Thu Nov 09 20:08:20 2023	1699549700	0	6	6	6
Thu Nov 09 20:08:47 2023	1699549727	0	6	6	6
Thu Nov 09 20:08:31 2023	1699549711	0	6	6	6
Thu Nov 09 20:06:23 2023	1699549583	0	6	6	6
Thu Nov 09 20:08:08 2023	1699549688	0	6	6	6
Thu Nov 09 20:07:51 2023	1699549671	0	6	6	6
Thu Nov 09 20:07:51 2023	1699549671	0	6	6	6
Thu Nov 09 20:07:54 2023	1699549674	0	6	6	6
Thu Nov 09 20:08:32 2023	1699549712	0	6	7	6
Thu Nov 09 20:06:23 2023	1699549583	0	6	7	6
Thu Nov 09 20:06:30 2023	1699549590	0	6	7	6
Thu Nov 09 20:06:30 2023	1699549590	0	6	7	6
Thu Nov 09 20:06:34 2023	1699549594	0	6	7	6
Thu Nov 09 20:08:48 2023	1699549728	0	6	7	6
Thu Nov 09 20:06:25 2023	1699549585	0	6	7	6
Thu Nov 09 20:07:54 2023	1699549674	0	6	7	6
Thu Nov 09 20:07:00 2023	1699549620	0	6	7	6
Thu Nov 09 20:08:31 2023	1699549711	0	7	7	6
Thu Nov 09 20:08:21 2023	1699549701	0	6	7	6
Thu Nov 09 20:08:47 2023	1699549727	0	7	7	6
Thu Nov 09 20:08:55 2023	1699549735	0	7	7	6
Thu Nov 09 20:06:34 2023	1699549594	0	7	7	6
Thu Nov 09 20:08:31 2023	1699549711	0	7	7	7
Thu Nov 09 20:06:39 2023	1699549599	0	7	7	6
Thu Nov 09 20:06:31 2023	1699549591	0	7	7	6
Thu Nov 09 20:07:41 2023	1699549661	0	7	7	6
Thu Nov 09 20:08:35 2023	1699549715	0	7	7	6
Thu Nov 09 20:07:31 2023	1699549651	0	7	7	6
Thu Nov 09 20:06:29 2023	1699549589	0	7	7	7
Thu Nov 09 20:08:58 2023	1699549738	0	7	7	6
Thu Nov 09 20:06:25 2023	1699549585	0	7	7	6
Thu Nov 09 20:08:47 2023	1699549727	0	7	7	6
Thu Nov 09 20:07:03 2023	1699549623	0	7	7	6
Thu Nov 09 20:06:24 2023	1699549584	0	7	7	6
Thu Nov 09 20:06:36 2023	1699549596	0	7	7	6
Thu Nov 09 20:06:26 2023	1699549586	0	7	7	7
Thu Nov 09 20:06:29 2023	1699549589	0	7	7	7
Thu Nov 09 20:08:23 2023	1699549703	0	7	7	6
Thu Nov 09 20:06:31 2023	1699549591	0	7	7	6
Thu Nov 09 20:08:48 2023	1699549728	0	7	7	6
Thu Nov 09 20:06:57 2023	1699549617	0	7	7	6
Thu Nov 09 20:08:54 2023	1699549734	0	7	7	6
Thu Nov 09 20:07:13 2023	1699549633	0	7	7	7
Thu Nov 09 20:08:23 2023	1699549703	0	7	7	6
Thu Nov 09 20:08:05 2023	1699549685	0	7	7	6
